Iteration	expected_value	risk	lambda
1	0.000	2305.565	0.000
2	0.000	2217.749	0.000
3	0.000	2699.049	0.000
4	0.000	2024.136	0.000
5	0.000	2457.833	0.000
6	0.000	2495.666	0.000
7	0.000	2898.577	0.000
8	0.000	2339.111	0.000
9	0.000	2322.278	0.000
1	1961.215	2143.711	0.100
2	1998.220	2006.041	0.100
3	2112.472	2321.891	0.100
4	2704.129	2937.744	0.100
5	1978.744	1821.723	0.100
6	1957.913	2017.515	0.100
7	2644.245	3236.636	0.100
8	2398.926	2532.681	0.100
9	2705.326	3200.322	0.100
1	3922.431	1905.521	0.200
2	3996.441	1783.148	0.200
3	4224.944	2063.903	0.200
4	5408.257	2611.328	0.200
5	3957.489	1619.309	0.200
6	3915.826	1793.347	0.200
7	5288.490	2877.010	0.200
8	4797.852	2251.272	0.200
9	5410.651	2844.730	0.200
1	5883.646	1667.331	0.300
2	6389.543	1881.077	0.300
3	7302.823	2082.165	0.300
4	9974.991	3137.211	0.300
5	7281.708	2133.558	0.300
6	7095.392	2041.551	0.300
7	6802.437	1888.074	0.300
8	6779.281	1884.667	0.300
9	5843.979	1667.891	0.300
1	7844.862	1429.141	0.400
2	8519.390	1612.352	0.400
3	9737.097	1784.713	0.400
4	13299.988	2689.038	0.400
5	9708.944	1828.764	0.400
6	9460.523	1749.901	0.400
7	9069.916	1618.349	0.400
8	9039.041	1615.429	0.400
9	7791.972	1429.621	0.400
1	9806.077	1190.951	0.500
2	10649.238	1343.627	0.500
3	12171.372	1487.261	0.500
4	16624.985	2240.865	0.500
5	12136.180	1523.970	0.500
6	11825.653	1458.250	0.500
7	11337.394	1348.624	0.500
8	11298.801	1346.191	0.500
9	9739.966	1191.351	0.500
1	11767.293	952.761	0.600
2	12779.085	1074.901	0.600
3	14605.646	1189.809	0.600
4	19949.983	1792.692	0.600
5	14563.416	1219.176	0.600
6	14190.784	1166.600	0.600
7	13604.873	1078.899	0.600
8	13558.562	1076.953	0.600
9	11687.959	953.081	0.600
1	13728.508	714.570	0.700
2	14908.933	806.176	0.700
3	17039.920	892.357	0.700
4	23274.980	1344.519	0.700
5	16990.652	914.382	0.700
6	16555.915	874.950	0.700
7	15872.352	809.174	0.700
8	15818.322	807.715	0.700
9	13635.952	714.811	0.700
1	15689.724	476.380	0.800
2	17038.780	537.451	0.800
3	19474.195	594.904	0.800
4	26599.977	896.346	0.800
5	19417.888	609.588	0.800
6	18921.046	583.300	0.800
7	18139.831	539.450	0.800
8	18078.082	538.476	0.800
9	15583.945	476.540	0.800
1	17650.939	238.190	0.900
2	19168.628	268.725	0.900
3	21908.469	297.452	0.900
4	29924.974	448.173	0.900
5	21845.124	304.794	0.900
6	21286.176	291.650	0.900
7	20407.310	269.725	0.900
8	20337.843	269.238	0.900
9	17531.938	238.270	0.900
1	19612.154	0.000	1.000
2	21298.475	0.000	1.000
3	24342.743	0.000	1.000
4	33249.971	0.000	1.000
5	24272.360	0.000	1.000
6	23651.307	0.000	1.000
7	22674.789	0.000	1.000
8	22597.603	0.000	1.000
9	19479.931	0.000	1.000
1	21573.370	-238.190	1.100
2	23428.323	-268.725	1.100
3	26777.017	-297.452	1.100
4	36574.968	-448.173	1.100
5	26699.596	-304.794	1.100
6	26016.438	-291.650	1.100
7	24942.268	-269.725	1.100
8	24857.363	-269.238	1.100
9	21427.924	-238.270	1.100
