Iteration	expected_value	risk	lambda
7.000000	0.000000	1363.784000	0.000000
7.000000	0.000000	1363.784000	0.000000
6.000000	1939.006000	1311.090000	0.100000
1.000000	2858.257000	1257.087000	0.200000
2.000000	3881.812000	1222.888000	0.200000
1.000000	4287.385000	1099.951000	0.300000
1.000000	5716.514000	942.816000	0.400000
1.000000	7145.642000	785.680000	0.500000
1.000000	8574.771000	628.544000	0.600000
1.000000	10003.899000	471.408000	0.700000
1.000000	11433.027000	314.272000	0.800000
1.000000	12862.156000	157.136000	0.900000
1.000000	14291.284000	0.000000	1.000000
1.000000	15720.413000	-157.136000	1.100000
