Iteration	expected_value	risk	lambda
5.000000	0.000000	4748.251000	0.000000
5.000000	0.000000	4748.251000	0.000000
5.000000	5190.145000	4273.426000	0.100000
3.000000	10522.749000	4096.966000	0.200000
3.000000	15784.124000	3584.845000	0.300000
3.000000	21045.499000	3072.725000	0.400000
3.000000	26306.874000	2560.604000	0.500000
3.000000	31568.248000	2048.483000	0.600000
3.000000	36829.623000	1536.362000	0.700000
3.000000	42090.998000	1024.242000	0.800000
3.000000	47352.373000	512.121000	0.900000
1.000000	55612.150000	0.000000	1.000000
1.000000	61173.365000	-572.427000	1.100000
