Iteration	expected_value	risk	lambda
1	0.000	3289.565	0.000
2	0.000	2666.130	0.000
3	0.000	2801.238	0.000
4	0.000	3234.940	0.000
5	0.000	2506.214	0.000
6	0.000	2987.866	0.000
7	0.000	3067.299	0.000
8	0.000	3358.742	0.000
9	0.000	3501.498	0.000
1	4101.025	2960.608	0.100
2	3857.027	2399.517	0.100
3	3959.753	2521.114	0.100
4	4219.006	2911.446	0.100
5	4467.366	3042.123	0.100
6	4186.957	2691.738	0.100
7	4280.568	2603.279	0.100
8	4025.641	2529.111	0.100
9	4085.745	2848.584	0.100
1	8202.050	2631.652	0.200
2	7714.054	2132.904	0.200
3	7919.506	2240.990	0.200
4	7989.209	2434.543	0.200
5	8051.282	2248.099	0.200
6	8460.139	2845.278	0.200
7	8751.658	2406.799	0.200
8	8930.835	2477.323	0.200
9	8386.349	2436.385	0.200
1	12303.075	2302.695	0.300
2	11571.081	1866.291	0.300
3	11879.259	1960.867	0.300
4	11983.814	2130.225	0.300
5	12076.923	1967.086	0.300
6	12690.208	2489.619	0.300
7	13127.487	2105.949	0.300
8	13396.253	2167.657	0.300
9	12579.523	2131.837	0.300
1	16404.101	1973.739	0.400
2	15428.108	1599.678	0.400
3	15839.012	1680.743	0.400
4	15978.419	1825.907	0.400
5	16102.564	1686.074	0.400
6	16920.278	2133.959	0.400
7	17503.316	1805.099	0.400
8	17861.671	1857.992	0.400
9	16772.697	1827.289	0.400
1	20505.126	1644.782	0.500
2	19285.135	1333.065	0.500
3	19798.765	1400.619	0.500
4	19973.024	1521.589	0.500
5	20128.204	1405.062	0.500
6	21150.347	1778.299	0.500
7	21879.145	1504.249	0.500
8	22327.089	1548.327	0.500
9	20965.872	1522.740	0.500
1	24606.151	1315.826	0.600
2	23142.162	1066.452	0.600
3	23758.518	1120.495	0.600
4	23967.628	1217.271	0.600
5	24153.845	1124.049	0.600
6	25380.417	1422.639	0.600
7	26254.975	1203.399	0.600
8	26792.506	1238.661	0.600
9	25159.046	1218.192	0.600
1	28707.176	986.869	0.700
2	26999.189	799.839	0.700
3	27718.271	840.371	0.700
4	27962.233	912.954	0.700
5	28179.486	843.037	0.700
6	29610.486	1066.979	0.700
7	30630.804	902.550	0.700
8	31257.924	928.996	0.700
9	29352.220	913.644	0.700
1	32808.201	657.913	0.800
2	30856.216	533.226	0.800
3	31678.024	560.248	0.800
4	31956.838	608.636	0.800
5	32205.127	562.025	0.800
6	33840.556	711.320	0.800
7	35006.633	601.700	0.800
8	35723.342	619.331	0.800
9	33545.395	609.096	0.800
1	36909.226	328.956	0.900
2	34713.243	266.613	0.900
3	35637.777	280.124	0.900
4	35951.442	304.318	0.900
5	36230.768	281.012	0.900
6	38070.625	355.660	0.900
7	39382.462	300.850	0.900
8	40188.760	309.665	0.900
9	37738.569	304.548	0.900
1	41010.251	0.000	1.000
2	38570.269	0.000	1.000
3	39597.530	0.000	1.000
4	39946.047	0.000	1.000
5	40256.409	0.000	1.000
6	42300.695	0.000	1.000
7	43758.291	0.000	1.000
8	44654.177	0.000	1.000
9	41931.743	0.000	1.000
1	45111.276	-328.956	1.100
2	42427.296	-266.613	1.100
3	43557.283	-280.124	1.100
4	43940.652	-304.318	1.100
5	44282.050	-281.012	1.100
6	46530.764	-355.660	1.100
7	48134.120	-300.850	1.100
8	49119.595	-309.665	1.100
9	46124.918	-304.548	1.100
