Iteration	expected_value	risk	lambda
4.000000	0.000000	2024.136000	0.000000
4.000000	0.000000	2024.136000	0.000000
5.000000	1978.744000	1821.723000	0.100000
5.000000	3957.489000	1619.309000	0.200000
1.000000	7844.862000	1429.141000	0.400000
1.000000	9806.077000	1190.951000	0.500000
1.000000	11767.293000	952.761000	0.600000
1.000000	13728.508000	714.570000	0.700000
1.000000	15689.724000	476.380000	0.800000
1.000000	17650.939000	238.190000	0.900000
1.000000	19612.154000	0.000000	1.000000
2.000000	21298.475000	0.000000	1.000000
3.000000	24342.743000	0.000000	1.000000
9.000000	19479.931000	0.000000	1.000000
1.000000	21573.370000	-238.190000	1.100000
