Iteration	expected_value	risk	lambda
1	0.000	1571.359	0.000
2	0.000	1528.610	0.000
3	0.000	1958.179	0.000
4	0.000	2054.054	0.000
5	0.000	3064.928	0.000
6	0.000	1456.767	0.000
7	0.000	1363.784	0.000
8	0.000	3086.386	0.000
9	0.000	3432.910	0.000
1	1429.128	1414.223	0.100
2	1940.906	1375.749	0.100
3	1968.441	1762.361	0.100
4	1655.256	2758.435	0.100
5	2408.263	2494.485	0.100
6	1939.006	1311.090	0.100
7	2013.863	2924.801	0.100
8	2860.168	1397.747	0.100
9	3246.564	3217.768	0.100
1	2858.257	1257.087	0.200
2	3881.812	1222.888	0.200
3	5001.984	1907.692	0.200
4	5819.262	2382.345	0.200
5	3890.448	2746.328	0.200
6	4649.979	2341.470	0.200
7	6356.833	2478.365	0.200
8	4546.631	2823.004	0.200
9	4754.749	1431.344	0.200
1	4287.385	1099.951	0.300
2	5822.718	1070.027	0.300
3	7502.976	1669.230	0.300
4	8728.893	2084.552	0.300
5	5835.671	2403.037	0.300
6	6974.968	2048.787	0.300
7	9535.250	2168.569	0.300
8	6819.946	2470.128	0.300
9	7132.123	1252.426	0.300
1	5716.514	942.816	0.400
2	7763.624	917.166	0.400
3	10003.968	1430.769	0.400
4	11638.524	1786.759	0.400
5	7780.895	2059.746	0.400
6	9299.958	1756.103	0.400
7	12713.667	1858.774	0.400
8	9093.261	2117.253	0.400
9	8867.068	1051.191	0.400
1	7145.642	785.680	0.500
2	9704.530	764.305	0.500
3	12504.960	1192.307	0.500
4	14548.155	1488.966	0.500
5	9726.119	1716.455	0.500
6	11624.947	1463.419	0.500
7	15892.083	1548.978	0.500
8	11366.577	1764.377	0.500
9	11083.835	875.992	0.500
1	8574.771	628.544	0.600
2	11645.436	611.444	0.600
3	15005.952	953.846	0.600
4	17457.786	1191.173	0.600
5	11671.343	1373.164	0.600
6	13949.937	1170.735	0.600
7	19070.500	1239.182	0.600
8	13639.892	1411.502	0.600
9	13300.602	700.794	0.600
1	10003.899	471.408	0.700
2	13586.342	458.583	0.700
3	17506.944	715.384	0.700
4	20367.417	893.379	0.700
5	13616.566	1029.873	0.700
6	16274.926	878.051	0.700
7	22248.916	929.387	0.700
8	15913.207	1058.626	0.700
9	15517.369	525.595	0.700
1	11433.027	314.272	0.800
2	15527.248	305.722	0.800
3	20007.937	476.923	0.800
4	23277.048	595.586	0.800
5	15561.790	686.582	0.800
6	18599.916	585.368	0.800
7	25427.333	619.591	0.800
8	18186.523	705.751	0.800
9	17734.136	350.397	0.800
1	12862.156	157.136	0.900
2	17468.154	152.861	0.900
3	22508.929	238.461	0.900
4	26186.679	297.793	0.900
5	17507.014	343.291	0.900
6	20924.905	292.684	0.900
7	28605.750	309.796	0.900
8	20459.838	352.875	0.900
9	19950.903	175.198	0.900
1	14291.284	0.000	1.000
2	19409.060	0.000	1.000
3	25009.921	0.000	1.000
4	29096.310	0.000	1.000
5	19452.238	0.000	1.000
6	23249.895	0.000	1.000
7	31784.166	0.000	1.000
8	22733.153	0.000	1.000
9	22733.153	0.000	1.000
1	15720.413	-157.136	1.100
2	21349.966	-152.861	1.100
3	27510.913	-238.461	1.100
4	32005.940	-297.793	1.100
5	21397.462	-343.291	1.100
6	32296.235	-376.411	1.100
7	34962.583	-309.796	1.100
8	24669.524	-294.998	1.100
9	36226.545	-257.421	1.100
