Iteration	expected_value	risk	lambda
1	0.000	5724.275	0.000
2	0.000	5899.923	0.000
3	0.000	5121.208	0.000
4	0.000	5518.152	0.000
5	0.000	4748.251	0.000
6	0.000	5289.382	0.000
7	0.000	5170.139	0.000
8	0.000	6855.398	0.000
9	0.000	5152.354	0.000
1	5561.215	5151.847	0.100
2	5209.472	5309.931	0.100
3	5261.375	4609.087	0.100
4	5142.879	4966.337	0.100
5	5190.145	4273.426	0.100
6	5056.609	4760.443	0.100
7	5057.748	4653.125	0.100
8	5347.514	6169.858	0.100
9	5014.337	4637.119	0.100
1	11122.430	4579.420	0.200
2	10418.944	4719.939	0.200
3	10522.749	4096.966	0.200
4	9743.145	4819.550	0.200
5	9870.995	4143.552	0.200
6	10113.218	4231.505	0.200
7	10115.496	4136.111	0.200
8	10695.027	5484.318	0.200
9	10028.673	4121.883	0.200
1	16683.645	4006.992	0.300
2	15628.417	4129.946	0.300
3	15784.124	3584.845	0.300
4	14614.718	4217.106	0.300
5	14806.492	3625.608	0.300
6	15706.981	4718.469	0.300
7	15173.245	3619.097	0.300
8	16042.541	4798.779	0.300
9	15043.010	3606.648	0.300
1	22244.860	3434.565	0.400
2	20837.889	3539.954	0.400
3	21045.499	3072.725	0.400
4	19486.290	3614.662	0.400
5	19741.989	3107.664	0.400
6	20942.641	4044.402	0.400
7	20230.993	3102.083	0.400
8	21390.054	4113.239	0.400
9	20057.347	3091.412	0.400
1	27806.075	2862.137	0.500
2	26047.361	2949.962	0.500
3	26306.874	2560.604	0.500
4	24357.863	3012.219	0.500
5	24677.487	2589.720	0.500
6	26178.302	3370.335	0.500
7	25288.741	2585.069	0.500
8	26737.568	3427.699	0.500
9	25071.684	2576.177	0.500
1	33367.290	2289.710	0.600
2	31256.833	2359.969	0.600
3	31568.248	2048.483	0.600
4	29229.436	2409.775	0.600
5	29612.984	2071.776	0.600
6	31413.962	2696.268	0.600
7	30346.489	2068.055	0.600
8	32085.082	2742.159	0.600
9	30086.020	2060.942	0.600
1	38928.505	1717.282	0.700
2	36466.306	1769.977	0.700
3	36829.623	1536.362	0.700
4	34101.008	1807.331	0.700
5	34548.481	1553.832	0.700
6	36649.622	2022.201	0.700
7	35404.237	1551.042	0.700
8	37432.595	2056.619	0.700
9	35100.357	1545.706	0.700
1	44489.720	1144.855	0.800
2	41675.778	1179.985	0.800
3	42090.998	1024.242	0.800
4	38972.581	1204.887	0.800
5	39483.979	1035.888	0.800
6	41885.283	1348.134	0.800
7	40461.986	1034.028	0.800
8	42780.109	1371.080	0.800
9	40114.694	1030.471	0.800
1	50050.935	572.427	0.900
2	46885.250	589.992	0.900
3	47352.373	512.121	0.900
4	43844.154	602.444	0.900
5	44419.476	517.944	0.900
6	47120.943	674.067	0.900
7	45519.734	517.014	0.900
8	48127.623	685.540	0.900
9	45129.030	515.235	0.900
1	55612.150	0.000	1.000
2	52094.722	0.000	1.000
3	52613.747	0.000	1.000
4	48715.726	0.000	1.000
5	49354.973	0.000	1.000
6	52356.603	0.000	1.000
7	50577.482	0.000	1.000
8	53475.136	0.000	1.000
9	50143.367	0.000	1.000
1	61173.365	-572.427	1.100
2	57304.195	-589.992	1.100
3	57875.122	-512.121	1.100
4	53587.299	-602.444	1.100
5	54290.470	-517.944	1.100
6	57592.264	-674.067	1.100
7	55635.230	-517.014	1.100
8	58822.650	-685.540	1.100
9	57607.924	-491.351	1.100
