Iteration	expected_value	risk	lambda
1	0.000	1571.359	0.000
2	0.000	1528.610	0.000
3	0.000	1958.179	0.000
4	0.000	2054.054	0.000
5	0.000	3064.928	0.000
6	0.000	1456.767	0.000
7	0.000	1363.784	0.000
8	0.000	3086.386	0.000
9	0.000	3432.910	0.000
10	0.000	3481.558	0.000
11	0.000	4124.277	0.000
12	0.000	1553.052	0.000
13	0.000	2384.615	0.000
14	0.000	3575.298	0.000
15	0.000	3767.538	0.000
16	0.000	1525.166	0.000
17	0.000	2088.774	0.000
18	0.000	4414.988	0.000
19	0.000	2251.134	0.000
20	0.000	4907.674	0.000
21	0.000	2276.195	0.000
22	0.000	4343.346	0.000
23	0.000	4773.957	0.000
24	0.000	3986.010	0.000
25	0.000	3986.010	0.000
26	0.000	3986.010	0.000
27	0.000	6017.100	0.000
28	0.000	6017.100	0.000
29	0.000	6017.100	0.000
30	0.000	6017.100	0.000
31	0.000	4559.432	0.000
32	0.000	4559.432	0.000
33	0.000	3634.209	0.000
34	0.000	3634.209	0.000
35	0.000	3634.209	0.000
36	0.000	3082.816	0.000
37	0.000	3082.816	0.000
38	0.000	3082.816	0.000
39	0.000	2003.549	0.000
40	0.000	1851.911	0.000
41	0.000	3425.565	0.000
42	0.000	4871.621	0.000
43	0.000	2762.465	0.000
44	0.000	2762.465	0.000
45	0.000	2762.465	0.000
46	0.000	2762.465	0.000
47	0.000	2762.465	0.000
48	0.000	2762.465	0.000
49	0.000	4748.681	0.000
50	0.000	5529.134	0.000
51	0.000	5529.134	0.000
52	0.000	3457.482	0.000
53	0.000	2819.960	0.000
54	0.000	4478.210	0.000
55	0.000	3909.636	0.000
56	0.000	4417.525	0.000
57	0.000	4528.643	0.000
58	0.000	3837.966	0.000
59	0.000	6543.485	0.000
60	0.000	6543.485	0.000
61	0.000	6543.485	0.000
62	0.000	5667.748	0.000
63	0.000	6148.180	0.000
64	0.000	6148.180	0.000
65	0.000	6148.180	0.000
66	0.000	5232.360	0.000
67	0.000	5232.360	0.000
68	0.000	3432.600	0.000
69	0.000	6304.372	0.000
70	0.000	7030.810	0.000
71	0.000	4037.473	0.000
72	0.000	4037.473	0.000
73	0.000	4037.473	0.000
74	0.000	4037.473	0.000
75	0.000	5915.622	0.000
76	0.000	5915.622	0.000
77	0.000	5915.622	0.000
78	0.000	5915.622	0.000
79	0.000	5915.622	0.000
80	0.000	5915.622	0.000
81	0.000	5915.622	0.000
82	0.000	5915.622	0.000
83	0.000	5915.622	0.000
84	0.000	5915.622	0.000
85	0.000	5915.622	0.000
86	0.000	5915.622	0.000
87	0.000	5915.622	0.000
88	0.000	5915.622	0.000
89	0.000	5915.622	0.000
90	0.000	5915.622	0.000
91	0.000	5915.622	0.000
92	0.000	5915.622	0.000
93	0.000	5915.622	0.000
94	0.000	5915.622	0.000
95	0.000	5915.622	0.000
96	0.000	5915.622	0.000
97	0.000	5915.622	0.000
98	0.000	5915.622	0.000
99	0.000	5915.622	0.000
1	142.913	1555.646	0.010
2	194.091	1513.324	0.010
3	196.844	1938.597	0.010
4	186.833	2033.514	0.010
5	165.526	3034.279	0.010
6	193.901	1442.199	0.010
7	182.383	1350.146	0.010
8	208.037	3055.522	0.010
9	286.017	1537.522	0.010
10	331.482	1794.235	0.010
11	374.998	3034.174	0.010
12	329.332	2548.466	0.010
13	305.671	2996.557	0.010
14	319.462	2035.118	0.010
15	243.068	2383.277	0.010
16	372.073	4858.598	0.010
17	281.244	3617.362	0.010
18	166.219	2410.112	0.010
19	232.398	2969.882	0.010
20	257.447	1509.914	0.010
21	415.024	3948.938	0.010
22	274.957	2253.433	0.010
23	379.240	4370.838	0.010
24	186.714	2228.622	0.010
25	400.166	5056.806	0.010
26	332.753	3785.845	0.010
27	346.744	4726.218	0.010
28	362.971	4165.608	0.010
29	275.981	2934.271	0.010
30	275.981	2934.271	0.010
31	275.981	2934.271	0.010
32	370.626	1719.886	0.010
33	231.289	3446.743	0.010
34	250.099	2360.769	0.010
35	341.608	2899.356	0.010
36	341.608	2899.356	0.010
37	341.608	2899.356	0.010
38	271.883	2734.841	0.010
39	267.822	2532.616	0.010
