"","Iteration","expected_value","risk","lambda"
"1",7,0,1363.784,0
"31",7,182.383,1350.146,0.01
"4",7,364.766,1336.508,0.02
"5",7,547.15,1322.87,0.03
"6",7,729.533,1309.232,0.04
"7",7,911.916,1295.594,0.05
"8",6,2326.808,1281.955,0.12
"9",6,2520.708,1267.387,0.13
"10",6,2714.609,1252.819,0.14
"255",1,3001.17,1241.374,0.21
"254",1,3144.083,1225.66,0.22
"253",1,3286.995,1209.947,0.23
"252",1,3429.908,1194.233,0.24
"251",1,3572.821,1178.519,0.25
"250",1,3715.734,1162.806,0.26
"249",1,3858.647,1147.092,0.27
"248",1,4001.56,1131.379,0.28
"247",1,4144.472,1115.665,0.29
"246",1,4287.385,1099.951,0.3
"245",1,4430.298,1084.238,0.31
"244",1,4573.211,1068.524,0.32
"243",1,4716.124,1052.811,0.33
"242",1,4859.037,1037.097,0.34
"241",1,5001.95,1021.384,0.35
"240",1,5144.862,1005.67,0.36
"239",1,5287.775,989.956,0.37
"238",1,5430.688,974.243,0.38
"237",1,5573.601,958.529,0.39
"236",1,5716.514,942.816,0.4
"235",1,5859.427,927.102,0.41
"234",1,6002.339,911.388,0.42
"233",1,6145.252,895.675,0.43
"232",1,6288.165,879.961,0.44
"231",1,6431.078,864.248,0.45
"230",1,6573.991,848.534,0.46
"229",1,6716.904,832.82,0.47
"228",1,6859.816,817.107,0.48
"227",1,7002.729,801.393,0.49
"226",1,7145.642,785.68,0.5
"225",1,7288.555,769.966,0.51
"224",1,7431.468,754.252,0.52
"223",1,7574.381,738.539,0.53
"222",1,7717.294,722.825,0.54
"221",1,7860.206,707.112,0.55
"220",1,8003.119,691.398,0.56
"219",1,8146.032,675.684,0.57
"218",1,8288.945,659.971,0.58
"217",1,8431.858,644.257,0.59
"216",1,8574.771,628.544,0.6
"215",1,8717.683,612.83,0.61
"214",1,8860.596,597.117,0.62
"213",1,9003.509,581.403,0.63
"212",1,9146.422,565.689,0.64
"50",1,9289.335,549.976,0.65
"51",1,9432.248,534.262,0.66
"52",1,9575.16,518.549,0.67
"53",1,9718.073,502.835,0.68
"54",1,9860.986,487.121,0.69
"55",1,10003.899,471.408,0.7
"56",1,10146.812,455.694,0.71
"57",1,10289.725,439.981,0.72
"58",1,10432.638,424.267,0.73
"59",1,10575.55,408.553,0.74
"60",1,10718.463,392.84,0.75
"61",1,10861.376,377.126,0.76
"62",1,11004.289,361.413,0.77
"63",1,11147.202,345.699,0.78
"64",1,11290.115,329.985,0.79
"65",1,11433.027,314.272,0.8
"66",1,11575.94,298.558,0.81
"67",1,11718.853,282.845,0.82
"68",1,11861.766,267.131,0.83
"69",1,12004.679,251.417,0.84
"70",1,12147.592,235.704,0.85
"71",1,12290.505,219.99,0.86
"72",1,12433.417,204.277,0.87
"73",1,12576.33,188.563,0.88
"74",1,12719.243,172.85,0.89
"75",1,12862.156,157.136,0.9
"76",1,13005.069,141.422,0.91
"77",1,13147.982,125.709,0.92
"78",1,13290.894,109.995,0.93
"79",1,13433.807,94.282,0.94
"80",1,13576.72,78.568,0.95
"81",1,13719.633,62.854,0.96
"82",1,13862.546,47.141,0.97
"83",1,14005.459,31.427,0.98
"84",1,14148.371,15.714,0.99
"85",1,14291.284,0,1
