"","Iteration","expected_value","risk","lambda"
"1",5,0,2506.214,0
"31",5,748.169,2456.09,0.02
"4",5,1496.338,2405.966,0.04
"5",8,2244.508,2355.841,0.06
"6",14,2992.677,2305.717,0.08
"7",14,3740.846,2255.593,0.1
"8",14,4489.015,2205.469,0.12
"9",7,5237.185,2155.344,0.14
"10",7,5985.354,2105.22,0.16
"11",7,6733.523,2055.096,0.18
"12",39,7481.692,2004.971,0.2
"13",29,8229.862,1954.847,0.22
"14",29,8978.031,1904.723,0.24
"15",29,9726.2,1854.599,0.26
"16",29,10474.369,1804.474,0.28
"17",29,11222.539,1754.35,0.3
"18",2,13885.297,1706.323,0.36
"19",2,14656.702,1653,0.38
"20",2,15428.108,1599.678,0.4
"211",2,16199.513,1546.355,0.42
"22",2,16970.919,1493.033,0.44
"23",2,17742.324,1439.71,0.46
"24",2,18513.729,1386.387,0.48
"25",2,19285.135,1333.065,0.5
"26",2,20056.54,1279.742,0.52
"27",2,20827.946,1226.42,0.54
"28",2,21599.351,1173.097,0.56
"29",2,22370.756,1119.775,0.58
"30",2,23142.162,1066.452,0.6
"311",2,23913.567,1013.129,0.62
"32",2,24684.972,959.807,0.64
"33",2,25456.378,906.484,0.66
"34",2,26227.783,853.162,0.68
"35",2,26999.189,799.839,0.7
"36",2,27770.594,746.516,0.72
"37",2,28541.999,693.194,0.74
"38",2,29313.405,639.871,0.76
"39",2,30084.81,586.549,0.78
"40",2,30856.216,533.226,0.8
"41",2,31627.621,479.903,0.82
"42",2,32399.026,426.581,0.84
"43",2,33170.432,373.258,0.86
"44",2,33941.837,319.936,0.88
"45",2,34713.243,266.613,0.9
"46",2,35484.648,213.29,0.92
"47",2,36256.053,159.968,0.94
"48",2,37027.459,106.645,0.96
"49",2,37798.864,53.323,0.98
"50",2,38570.269,0,1
