Iteration	expected_value	risk	lambda
43.000000	0.000000	3730.052000	0.000000
43.000000	0.000000	3730.052000	0.000000
43.000000	807.699000	3655.451000	0.020000
17.000000	1726.775000	3604.237000	0.040000
17.000000	2495.691000	3404.931000	0.060000
43.000000	2275.607000	3108.032000	0.060000
43.000000	3135.815000	3004.776000	0.080000
19.000000	7391.579000	2878.607000	0.180000
19.000000	8212.866000	2808.398000	0.200000
19.000000	9034.152000	2738.188000	0.220000
19.000000	9855.439000	2667.978000	0.240000
19.000000	10676.725000	2597.768000	0.260000
19.000000	11498.012000	2527.558000	0.280000
19.000000	12319.298000	2457.348000	0.300000
19.000000	13140.585000	2387.138000	0.320000
19.000000	13961.871000	2316.928000	0.340000
19.000000	14783.158000	2246.718000	0.360000
19.000000	15604.444000	2176.508000	0.380000
35.000000	14488.397000	1895.462000	0.400000
33.000000	19965.529000	1883.579000	0.480000
19.000000	20324.220000	1839.124000	0.500000
33.000000	20797.426000	1811.133000	0.500000
19.000000	21137.189000	1765.559000	0.520000
33.000000	21629.323000	1738.688000	0.520000
19.000000	21950.158000	1691.994000	0.540000
33.000000	22461.221000	1666.243000	0.540000
19.000000	22763.127000	1618.429000	0.560000
33.000000	23293.118000	1593.797000	0.560000
19.000000	23576.095000	1544.864000	0.580000
33.000000	24125.015000	1521.352000	0.580000
19.000000	24389.064000	1471.299000	0.600000
33.000000	24956.912000	1448.907000	0.600000
19.000000	25202.033000	1397.734000	0.620000
33.000000	25788.809000	1376.461000	0.620000
19.000000	26015.002000	1324.169000	0.640000
33.000000	26620.706000	1304.016000	0.640000
19.000000	26827.971000	1250.604000	0.660000
33.000000	27452.603000	1231.571000	0.660000
19.000000	27640.939000	1177.039000	0.680000
33.000000	28284.500000	1159.125000	0.680000
19.000000	28453.908000	1103.474000	0.700000
33.000000	29116.397000	1086.680000	0.700000
19.000000	29266.877000	1029.909000	0.720000
33.000000	29948.294000	1014.235000	0.720000
19.000000	30079.846000	956.344000	0.740000
33.000000	30780.191000	941.789000	0.740000
19.000000	30892.815000	882.779000	0.760000
33.000000	31612.088000	869.344000	0.760000
19.000000	31705.783000	809.214000	0.780000
33.000000	32443.985000	796.899000	0.780000
19.000000	32518.752000	735.650000	0.800000
33.000000	33275.882000	724.453000	0.800000
19.000000	33331.721000	662.085000	0.820000
33.000000	34107.779000	652.008000	0.820000
19.000000	34144.690000	588.520000	0.840000
33.000000	34939.676000	579.563000	0.840000
19.000000	34957.659000	514.955000	0.860000
19.000000	35770.627000	441.390000	0.880000
33.000000	36603.470000	434.672000	0.880000
19.000000	36583.596000	367.825000	0.900000
33.000000	37435.368000	362.227000	0.900000
19.000000	37396.565000	294.260000	0.920000
33.000000	38267.265000	289.781000	0.920000
10.000000	43496.449000	282.076000	0.940000
19.000000	38209.534000	220.695000	0.940000
33.000000	39099.162000	217.336000	0.940000
10.000000	44421.906000	188.051000	0.960000
19.000000	39022.503000	147.130000	0.960000
33.000000	39931.059000	144.891000	0.960000
10.000000	45347.362000	94.025000	0.980000
19.000000	39835.471000	73.565000	0.980000
33.000000	40762.956000	72.445000	0.980000
2.000000	52094.722000	-0.000000	1.000000
4.000000	48715.726000	-0.000000	1.000000
5.000000	49354.973000	-0.000000	1.000000
7.000000	50577.482000	-0.000000	1.000000
10.000000	46272.818000	-0.000000	1.000000
12.000000	48477.630000	-0.000000	1.000000
13.000000	48926.051000	-0.000000	1.000000
15.000000	48268.490000	-0.000000	1.000000
17.000000	43565.758000	-0.000000	1.000000
19.000000	40648.440000	-0.000000	1.000000
21.000000	40384.954000	-0.000000	1.000000
22.000000	43335.140000	-0.000000	1.000000
23.000000	45434.033000	-0.000000	1.000000
24.000000	47746.357000	-0.000000	1.000000
26.000000	48586.614000	-0.000000	1.000000
27.000000	51485.538000	-0.000000	1.000000
29.000000	49490.341000	-0.000000	1.000000
31.000000	45623.623000	-0.000000	1.000000
33.000000	41594.853000	-0.000000	1.000000
35.000000	43281.346000	-0.000000	1.000000
36.000000	44772.432000	-0.000000	1.000000
38.000000	48149.110000	-0.000000	1.000000
40.000000	48989.953000	-0.000000	1.000000
41.000000	54340.775000	-0.000000	1.000000
43.000000	48228.883000	-0.000000	1.000000
44.000000	57361.594000	-0.000000	1.000000
48.000000	42812.944000	-0.000000	1.000000
49.000000	44894.028000	-0.000000	1.000000
