Iteration	expected_value	risk	lambda
7.000000	0.000000	1363.784000	0.000000
7.000000	0.000000	1363.784000	0.000000
7.000000	364.766000	1336.508000	0.020000
7.000000	729.533000	1309.232000	0.040000
6.000000	2326.808000	1281.955000	0.120000
6.000000	2714.609000	1252.819000	0.140000
10.000000	3878.013000	1165.413000	0.200000
10.000000	4265.814000	1136.278000	0.220000
10.000000	4653.615000	1107.143000	0.240000
10.000000	5041.416000	1078.007000	0.260000
10.000000	5429.218000	1048.872000	0.280000
10.000000	5817.019000	1019.737000	0.300000
10.000000	6204.820000	990.601000	0.320000
10.000000	6592.621000	961.466000	0.340000
10.000000	6980.423000	932.331000	0.360000
14.000000	7295.328000	818.270000	0.400000
14.000000	7660.094000	790.995000	0.420000
1.000000	7431.468000	754.252000	0.520000
1.000000	7717.294000	722.825000	0.540000
1.000000	8003.119000	691.398000	0.560000
1.000000	8288.945000	659.971000	0.580000
1.000000	8574.771000	628.544000	0.600000
1.000000	8860.596000	597.117000	0.620000
1.000000	9146.422000	565.689000	0.640000
1.000000	9432.248000	534.262000	0.660000
1.000000	9718.073000	502.835000	0.680000
1.000000	10003.899000	471.408000	0.700000
1.000000	10289.725000	439.981000	0.720000
1.000000	10575.550000	408.553000	0.740000
1.000000	10861.376000	377.126000	0.760000
1.000000	11147.202000	345.699000	0.780000
1.000000	11433.027000	314.272000	0.800000
1.000000	11718.853000	282.845000	0.820000
1.000000	12004.679000	251.417000	0.840000
1.000000	12290.505000	219.990000	0.860000
1.000000	12576.330000	188.563000	0.880000
1.000000	12862.156000	157.136000	0.900000
1.000000	13147.982000	125.709000	0.920000
1.000000	13433.807000	94.282000	0.940000
1.000000	13719.633000	62.854000	0.960000
1.000000	14005.459000	31.427000	0.980000
1.000000	14291.284000	-0.000000	1.000000
2.000000	19409.060000	-0.000000	1.000000
3.000000	25009.921000	-0.000000	1.000000
5.000000	19452.238000	-0.000000	1.000000
6.000000	23249.895000	-0.000000	1.000000
10.000000	22733.153000	-0.000000	1.000000
12.000000	16552.557000	-0.000000	1.000000
13.000000	19779.490000	-0.000000	1.000000
15.000000	17936.878000	-0.000000	1.000000
16.000000	23239.777000	-0.000000	1.000000
19.000000	21709.843000	-0.000000	1.000000
21.000000	22170.681000	-0.000000	1.000000
22.000000	22205.466000	-0.000000	1.000000
28.000000	22426.840000	-0.000000	1.000000
29.000000	23512.882000	-0.000000	1.000000
33.000000	24125.632000	-0.000000	1.000000
49.000000	36062.270000	-0.000000	1.000000
