Iteration	expected_value	risk	lambda
4.000000	0.000000	2024.136000	0.000000
4.000000	0.000000	2024.136000	0.000000
5.000000	395.749000	1983.654000	0.020000
5.000000	791.498000	1943.171000	0.040000
5.000000	1187.247000	1902.688000	0.060000
5.000000	1582.995000	1862.206000	0.080000
5.000000	1978.744000	1821.723000	0.100000
5.000000	2374.493000	1781.240000	0.120000
5.000000	2770.242000	1740.757000	0.140000
5.000000	3165.991000	1700.275000	0.160000
5.000000	3561.740000	1659.792000	0.180000
5.000000	3957.489000	1619.309000	0.200000
5.000000	4353.238000	1578.826000	0.220000
5.000000	4748.986000	1538.344000	0.240000
5.000000	5144.735000	1497.861000	0.260000
5.000000	5540.484000	1457.378000	0.280000
15.000000	5936.233000	1416.896000	0.300000
15.000000	6331.982000	1376.413000	0.320000
15.000000	6727.731000	1335.930000	0.340000
15.000000	7123.480000	1295.447000	0.360000
42.000000	7914.977000	1214.482000	0.400000
42.000000	8310.726000	1173.999000	0.420000
10.000000	9397.982000	1165.675000	0.480000
10.000000	9789.564000	1120.842000	0.500000
10.000000	10181.147000	1076.008000	0.520000
10.000000	10572.729000	1031.174000	0.540000
10.000000	10964.312000	986.341000	0.560000
10.000000	11355.895000	941.507000	0.580000
25.000000	12774.736000	924.943000	0.600000
31.000000	12930.650000	858.310000	0.600000
31.000000	13361.672000	815.395000	0.620000
31.000000	13792.693000	772.479000	0.640000
31.000000	14223.715000	729.564000	0.660000
31.000000	14654.737000	686.648000	0.680000
38.000000	14724.796000	631.535000	0.700000
35.000000	15145.504000	589.432000	0.720000
35.000000	15566.212000	547.330000	0.740000
35.000000	15986.921000	505.228000	0.760000
36.000000	16809.845000	472.071000	0.780000
1.000000	16081.967000	428.742000	0.820000
1.000000	16474.210000	381.104000	0.840000
1.000000	16866.453000	333.466000	0.860000
1.000000	17258.696000	285.828000	0.880000
1.000000	17650.939000	238.190000	0.900000
1.000000	18043.182000	190.552000	0.920000
1.000000	18435.425000	142.914000	0.940000
1.000000	18827.668000	95.276000	0.960000
1.000000	19219.911000	47.638000	0.980000
1.000000	19612.154000	-0.000000	1.000000
2.000000	21298.475000	-0.000000	1.000000
3.000000	24342.743000	-0.000000	1.000000
9.000000	19479.931000	-0.000000	1.000000
12.000000	21124.718000	-0.000000	1.000000
13.000000	22628.758000	-0.000000	1.000000
14.000000	22932.573000	-0.000000	1.000000
18.000000	24331.525000	-0.000000	1.000000
20.000000	22671.384000	-0.000000	1.000000
23.000000	21724.476000	-0.000000	1.000000
25.000000	22773.663000	-0.000000	1.000000
26.000000	22926.373000	-0.000000	1.000000
29.000000	21640.323000	-0.000000	1.000000
30.000000	22837.135000	-0.000000	1.000000
31.000000	23154.885000	-0.000000	1.000000
36.000000	21551.083000	-0.000000	1.000000
49.000000	24140.248000	-0.000000	1.000000
