Iteration	expected_value	risk	lambda
1	0.000	1571.359	0.000
2	0.000	1528.610	0.000
3	0.000	1958.179	0.000
4	0.000	2054.054	0.000
5	0.000	3064.928	0.000
6	0.000	1456.767	0.000
7	0.000	1363.784	0.000
8	0.000	3086.386	0.000
9	0.000	3432.910	0.000
10	0.000	3481.558	0.000
11	0.000	4124.277	0.000
12	0.000	1553.052	0.000
13	0.000	2384.615	0.000
14	0.000	3575.298	0.000
15	0.000	3767.538	0.000
16	0.000	1525.166	0.000
17	0.000	2088.774	0.000
18	0.000	4414.988	0.000
19	0.000	2251.134	0.000
20	0.000	4907.674	0.000
21	0.000	2276.195	0.000
22	0.000	4343.346	0.000
23	0.000	4773.957	0.000
24	0.000	3986.010	0.000
25	0.000	3986.010	0.000
26	0.000	3986.010	0.000
27	0.000	6017.100	0.000
28	0.000	6017.100	0.000
29	0.000	6017.100	0.000
30	0.000	6017.100	0.000
31	0.000	4559.432	0.000
32	0.000	4559.432	0.000
33	0.000	3634.209	0.000
34	0.000	3634.209	0.000
35	0.000	3634.209	0.000
36	0.000	3082.816	0.000
37	0.000	3082.816	0.000
38	0.000	3082.816	0.000
39	0.000	2003.549	0.000
40	0.000	1851.911	0.000
41	0.000	3425.565	0.000
42	0.000	4871.621	0.000
43	0.000	2762.465	0.000
44	0.000	2762.465	0.000
45	0.000	2762.465	0.000
46	0.000	2762.465	0.000
47	0.000	2762.465	0.000
48	0.000	2762.465	0.000
49	0.000	4748.681	0.000
1	285.826	1539.932	0.020
2	388.181	1498.038	0.020
3	393.688	1919.016	0.020
4	373.666	2012.973	0.020
5	331.051	3003.630	0.020
6	387.801	1427.631	0.020
7	364.766	1336.508	0.020
8	416.074	3024.658	0.020
9	572.034	1521.991	0.020
10	662.964	1776.111	0.020
11	749.996	3003.526	0.020
12	658.664	2522.724	0.020
13	611.343	2966.289	0.020
14	638.924	2014.561	0.020
15	486.136	2359.203	0.020
16	741.252	1702.514	0.020
17	549.913	2230.671	0.020
18	758.481	4326.688	0.020
19	373.429	2206.111	0.020
20	744.147	4809.521	0.020
21	723.066	4256.479	0.020
22	830.048	3909.050	0.020
23	606.124	2356.161	0.020
24	606.124	2356.161	0.020
25	598.053	4673.510	0.020
26	598.053	4673.510	0.020
27	598.053	4673.510	0.020
28	598.053	4673.510	0.020
29	879.536	4468.244	0.020
30	879.536	4468.244	0.020
31	879.536	4468.244	0.020
32	879.536	4468.244	0.020
33	879.536	4468.244	0.020
34	879.536	4468.244	0.020
35	879.536	4468.244	0.020
36	879.536	4468.244	0.020
37	879.536	4468.244	0.020
38	879.536	4468.244	0.020
39	879.536	4468.244	0.020
40	879.536	4468.244	0.020
41	879.536	4468.244	0.020
42	879.536	4468.244	0.020
43	879.536	4468.244	0.020
44	879.536	4468.244	0.020
45	879.536	4468.244	0.020
46	879.536	4468.244	0.020
47	879.536	4468.244	0.020
48	879.536	4468.244	0.020
49	879.536	4468.244	0.020
1	571.651	1508.505	0.040
2	776.362	1467.466	0.040
3	787.377	1879.852	0.040
4	662.102	2942.331	0.040
5	963.305	2660.783	0.040
6	775.603	1398.496	0.040
7	729.533	1309.232	0.040
8	832.147	2962.930	0.040
9	1144.067	1490.930	0.040
10	1298.625	3432.286	0.040
11	888.219	2491.190	0.040
12	1063.795	3809.559	0.040
13	900.884	3297.277	0.040
14	1081.606	5556.282	0.040
15	1426.614	3649.583	0.040
16	1236.570	3826.570	0.040
17	1062.518	2122.349	0.040
18	1446.132	4169.612	0.040
19	1446.132	4169.612	0.040
20	1325.927	1739.864	0.040
21	1325.927	1739.864	0.040
22	1325.927	1739.864	0.040
23	1325.927	1739.864	0.040
24	1325.927	1739.864	0.040
25	1083.922	4658.852	0.040
26	1563.972	4516.030	0.040
27	1563.972	4516.030	0.040
28	1563.972	4516.030	0.040
29	1563.972	4516.030	0.040
30	1093.841	1687.045	0.040
31	1048.145	1809.790	0.040
32	1223.295	2691.856	0.040
33	1518.070	3012.882	0.040
34	1646.650	3381.938	0.040
35	1646.650	3381.938	0.040
36	1646.650	3381.938	0.040
37	1646.650	3381.938	0.040
38	1646.650	3381.938	0.040
