Iteration	expected_value	risk	lambda
1	0.000	5724.275	0.000
2	0.000	5899.923	0.000
3	0.000	5121.208	0.000
4	0.000	5518.152	0.000
5	0.000	4748.251	0.000
6	0.000	5289.382	0.000
7	0.000	5170.139	0.000
8	0.000	6855.398	0.000
9	0.000	5152.354	0.000
10	0.000	4701.264	0.000
11	0.000	4852.320	0.000
12	0.000	5231.975	0.000
13	0.000	4787.120	0.000
14	0.000	4833.949	0.000
15	0.000	4337.400	0.000
16	0.000	4551.207	0.000
17	0.000	4230.723	0.000
18	0.000	4372.217	0.000
19	0.000	4598.176	0.000
20	0.000	4497.642	0.000
21	0.000	4102.462	0.000
22	0.000	4165.406	0.000
23	0.000	5205.565	0.000
24	0.000	4038.444	0.000
25	0.000	3927.829	0.000
26	0.000	4076.743	0.000
27	0.000	4552.914	0.000
28	0.000	4718.493	0.000
29	0.000	4952.105	0.000
30	0.000	5106.634	0.000
31	0.000	5017.523	0.000
32	0.000	5374.435	0.000
33	0.000	5298.458	0.000
34	0.000	3959.415	0.000
35	0.000	4179.236	0.000
36	0.000	4127.894	0.000
37	0.000	4592.730	0.000
38	0.000	3925.428	0.000
39	0.000	3849.806	0.000
40	0.000	3861.787	0.000
41	0.000	3911.601	0.000
42	0.000	3838.115	0.000
43	0.000	3730.052	0.000
44	0.000	3880.788	0.000
45	0.000	5212.765	0.000
46	0.000	4804.694	0.000
47	0.000	6086.640	0.000
48	0.000	5024.066	0.000
49	0.000	4631.623	0.000
1	1112.243	5609.789	0.020
2	1041.894	5781.925	0.020
3	1052.275	5018.784	0.020
4	1028.576	5407.789	0.020
5	1038.029	4653.286	0.020
6	1011.322	5183.594	0.020
7	1011.550	5066.736	0.020
8	1069.503	6718.290	0.020
9	1002.867	5049.307	0.020
10	925.456	4607.238	0.020
11	952.100	4755.274	0.020
12	1013.360	5127.335	0.020
13	909.448	4691.378	0.020
14	972.662	4784.454	0.020
15	896.518	3990.950	0.020
16	959.732	4026.190	0.020
17	863.387	3679.325	0.020
18	926.602	3885.323	0.020
19	982.666	4506.213	0.020
20	1006.769	4299.339	0.020
21	1019.433	4349.955	0.020
22	975.073	4082.098	0.020
23	1036.251	5498.037	0.020
24	969.936	3957.675	0.020
25	1030.586	5427.664	0.020
26	963.084	3995.208	0.020
27	917.981	4461.856	0.020
28	1050.815	4624.123	0.020
29	939.168	4853.063	0.020
30	1003.906	5004.501	0.020
31	920.915	4917.173	0.020
32	998.326	5266.947	0.020
33	965.829	5192.488	0.020
34	892.984	3880.227	0.020
35	874.640	4095.651	0.020
36	928.959	4045.336	0.020
37	897.699	4500.875	0.020
38	937.867	3846.919	0.020
39	875.567	3772.810	0.020
40	906.702	3784.551	0.020
41	886.477	3833.369	0.020
42	870.911	3761.353	0.020
43	807.699	3655.451	0.020
44	866.703	3803.173	0.020
45	905.879	5108.509	0.020
46	954.927	4708.600	0.020
47	1048.251	5964.907	0.020
48	995.573	4923.585	0.020
49	926.228	4538.990	0.020
1	2224.486	5495.304	0.040
2	2083.789	5663.926	0.040
3	2104.550	4916.359	0.040
4	2057.151	5297.426	0.040
5	2076.058	4558.321	0.040
6	2022.644	5077.806	0.040
7	2023.099	4963.333	0.040
8	2139.005	6581.182	0.040
9	2005.735	4946.260	0.040
10	1850.913	4513.213	0.040
11	1904.201	4658.228	0.040
12	2026.720	5022.696	0.040
13	1818.896	4595.635	0.040
14	1945.325	4686.812	0.040
15	1793.035	3909.502	0.040
16	1919.464	3944.023	0.040
17	1726.775	3604.237	0.040
18	1853.204	3806.030	0.040
19	1965.332	4414.249	0.040
20	2013.538	4211.598	0.040
21	2038.865	4261.181	0.040
22	1950.146	3998.790	0.040
23	2072.501	5385.832	0.040
24	1939.871	3876.906	0.040
25	2061.172	5316.895	0.040
26	1926.167	3913.673	0.040
27	1835.963	4370.797	0.040
28	1974.653	4698.373	0.040
29	1958.540	6167.911	0.040
30	2298.549	6073.839	0.040
31	2077.020	5839.171	0.040
32	2338.170	5532.888	0.040
33	2218.307	6133.589	0.040
34	2474.864	5911.448	0.040
35	2098.145	4863.538	0.040
36	1995.062	3727.403	0.040
37	1961.121	4856.686	0.040
38	1878.195	3791.260	0.040
39	1842.907	4815.553	0.040
40	1861.371	3891.920	0.040
41	1771.142	4338.691	0.040
42	1897.567	4451.237	0.040
43	2090.161	4829.768	0.040
44	1999.984	4803.090	0.040
45	2180.142	5822.385	0.040
46	2230.461	5557.490	0.040
47	2321.998	5918.931	0.040
48	2092.047	4229.884	0.040
49	2072.874	4502.230	0.040
1	3336.729	5380.818	0.060
2	3125.683	5545.928	0.060
3	3156.825	4813.935	0.060
4	3085.727	5187.063	0.060
5	3114.087	4463.356	0.060
6	3033.965	4972.019	0.060
7	3034.649	4859.930	0.060
8	3208.508	6444.074	0.060
9	3008.602	4843.213	0.060
10	2776.369	4419.188	0.060
11	2856.301	4561.181	0.060
12	3040.080	4918.056	0.060
13	2728.344	4499.893	0.060
14	2789.499	4412.088	0.060
15	2594.466	3639.830	0.060
16	2784.109	3747.988	0.060
17	2495.691	3404.931	0.060
18	2685.334	3529.717	0.060
19	2621.161	4347.959	0.060
20	2970.385	4051.686	0.060
21	2882.967	4893.231	0.060
22	3104.727	4182.611	0.060
23	2751.578	3842.779	0.060
24	2721.555	3653.682	0.060
25	2560.843	3595.717	0.060
26	2737.854	3779.729	0.060
27	2902.017	4992.214	0.060
28	2904.749	4762.077	0.060
29	2762.746	4716.472	0.060
30	2792.056	3810.838	0.060
31	2822.978	3969.380	0.060
32	2889.881	3759.409	0.060
33	3035.811	4543.159	0.060
34	3043.471	4180.245	0.060
35	3170.066	5036.167	0.060
36	3245.149	4258.429	0.060
37	2800.411	4385.656	0.060
38	2777.905	3700.602	0.060
39	2615.803	3557.538	0.060
40	2653.916	3378.796	0.060
41	2463.860	3299.867	0.060
42	2696.093	3639.124	0.060
43	2275.607	3108.032	0.060
44	2452.619	3238.222	0.060
45	2601.634	4472.478	0.060
46	2514.920	3374.121	0.060
47	2703.246	4101.598	0.060
48	2687.640	3774.503	0.060
49	2734.509	4426.711	0.060
1	4448.972	5266.333	0.080
2	4167.578	5427.929	0.080
3	4209.100	4711.511	0.080
4	4114.303	5076.700	0.080
5	4152.116	4368.391	0.080
6	4045.287	4866.231	0.080
7	4046.199	4756.528	0.080
8	4278.011	6306.966	0.080
9	4011.469	4740.166	0.080
10	3701.825	4325.163	0.080
11	3808.401	4464.135	0.080
12	4053.441	4813.417	0.080
13	3466.474	4504.633	0.080
14	3719.332	4318.214	0.080
15	3459.288	3562.387	0.080
16	3712.145	3668.244	0.080
17	3327.588	3332.485	0.080
18	3580.446	3454.616	0.080
19	3494.881	4255.450	0.080
20	3960.514	3965.480	0.080
21	3843.956	4789.120	0.080
22	4139.637	4093.620	0.080
23	3668.771	3761.017	0.080
24	3607.661	3616.581	0.080
25	3393.378	3594.370	0.080
26	3629.393	3812.832	0.080
27	3838.197	5003.715	0.080
28	3855.515	4796.935	0.080
29	3623.515	4795.743	0.080
30	3819.709	4420.318	0.080
31	3542.285	4157.912	0.080
32	4016.819	4086.721	0.080
33	4180.322	4628.528	0.080
34	4221.658	4567.471	0.080
35	4369.040	5118.608	0.080
36	4490.562	4502.804	0.080
37	4111.011	4881.395	0.080
38	4124.457	4118.149	0.080
39	3850.095	4058.246	0.080
40	3730.917	3727.692	0.080
41	3338.912	3255.155	0.080
42	3389.109	3123.074	0.080
43	3135.815	3004.776	0.080
44	3327.492	3137.634	0.080
45	3100.690	3098.124	0.080
46	3270.158	3169.324	0.080
47	3468.845	4377.319	0.080
48	3577.090	3906.200	0.080
49	3964.360	4375.015	0.080
1	5561.215	5151.847	0.100
2	5209.472	5309.931	0.100
3	5261.375	4609.087	0.100
4	5142.879	4966.337	0.100
5	5190.145	4273.426	0.100
6	5056.609	4760.443	0.100
7	5057.748	4653.125	0.100
8	5347.514	6169.858	0.100
9	5014.337	4637.119	0.100
10	4627.282	4231.137	0.100
11	4760.502	4367.088	0.100
12	5066.801	4708.777	0.100
13	4333.093	4406.707	0.100
14	4649.165	4224.339	0.100
15	4324.110	3484.943	0.100
16	4640.182	3588.499	0.100
17	4159.485	3260.040	0.100
18	4475.557	3379.516	0.100
19	4368.601	4162.940	0.100
20	4950.642	3879.274	0.100
21	4804.945	4685.008	0.100
22	5174.546	4004.628	0.100
23	4585.963	3679.256	0.100
24	4509.576	3537.959	0.100
25	4241.723	3516.232	0.100
26	4536.742	3729.944	0.100
27	4797.747	4894.939	0.100
28	4819.394	4692.654	0.100
29	4529.393	4691.488	0.100
30	4774.636	4324.224	0.100
31	4427.856	4067.523	0.100
32	4743.917	4173.034	0.100
33	5225.403	4527.908	0.100
34	4957.091	4441.188	0.100
35	5668.198	4996.467	0.100
36	5135.043	4814.931	0.100
37	4708.499	4176.047	0.100
38	4725.213	3486.034	0.100
39	4670.376	3481.827	0.100
