Iteration	expexted_value	risk	lambda
1	0.000	3289.565	0.000
2	0.000	2666.130	0.000
3	0.000	2801.238	0.000
4	0.000	3234.940	0.000
5	0.000	2506.214	0.000
6	0.000	2987.866	0.000
7	0.000	3067.299	0.000
8	0.000	3358.742	0.000
9	0.000	3501.498	0.000
10	0.000	2903.284	0.000
11	0.000	2991.854	0.000
12	0.000	3140.783	0.000
13	0.000	3700.077	0.000
14	0.000	3771.747	0.000
15	0.000	3165.093	0.000
16	0.000	2782.771	0.000
17	0.000	2758.727	0.000
18	0.000	3043.019	0.000
19	0.000	3045.325	0.000
20	0.000	3725.217	0.000
21	0.000	3393.808	0.000
22	0.000	3328.750	0.000
23	0.000	3229.406	0.000
24	0.000	3170.804	0.000
25	0.000	3168.077	0.000
26	0.000	2960.447	0.000
27	0.000	2958.702	0.000
28	0.000	3385.287	0.000
29	0.000	3605.293	0.000
30	0.000	3443.821	0.000
31	0.000	3580.421	0.000
32	0.000	3229.201	0.000
33	0.000	3476.926	0.000
34	0.000	3564.215	0.000
35	0.000	3331.656	0.000
36	0.000	3331.656	0.000
37	0.000	3429.814	0.000
38	0.000	3429.814	0.000
39	0.000	3278.368	0.000
40	0.000	3215.641	0.000
41	0.000	3215.641	0.000
42	0.000	3376.538	0.000
43	0.000	3376.538	0.000
44	0.000	3376.538	0.000
45	0.000	3376.538	0.000
46	0.000	3202.872	0.000
47	0.000	2992.477	0.000
48	0.000	2992.477	0.000
49	0.000	2992.477	0.000
1	820.205	3223.774	0.020
2	771.405	2612.807	0.020
3	791.951	2745.213	0.020
4	843.801	3170.241	0.020
5	748.169	2456.090	0.020
6	789.455	2928.109	0.020
7	846.279	3005.953	0.020
8	846.382	3391.071	0.020
9	893.473	3312.534	0.020
10	867.645	3432.291	0.020
11	850.462	3250.436	0.020
12	782.953	3010.789	0.020
13	817.149	3101.791	0.020
14	884.069	3036.660	0.020
15	842.799	3696.312	0.020
16	878.478	2909.695	0.020
17	846.535	3096.356	0.020
18	829.971	2727.116	0.020
19	892.366	3112.385	0.020
20	827.712	2984.419	0.020
21	886.770	3650.713	0.020
22	889.940	3177.331	0.020
23	874.124	3325.932	0.020
24	907.161	3262.175	0.020
25	948.516	3130.454	0.020
26	912.891	3205.796	0.020
27	968.908	3115.394	0.020
28	971.766	2935.263	0.020
29	892.820	2862.796	0.020
30	984.074	3236.634	0.020
31	977.265	3134.859	0.020
32	989.602	3124.971	0.020
33	989.602	3124.971	0.020
34	895.558	2921.015	0.020
35	898.416	2832.963	0.020
36	862.322	2932.628	0.020
37	856.059	2791.846	0.020
38	834.940	2875.020	0.020
39	847.659	2711.191	0.020
40	860.033	2754.193	0.020
41	849.740	2930.758	0.020
42	862.491	3409.691	0.020
43	820.797	2534.205	0.020
44	875.958	3131.274	0.020
45	945.081	3305.763	0.020
46	897.362	3558.035	0.020
47	893.420	2997.916	0.020
48	953.520	4164.942	0.020
49	953.520	4164.942	0.020
1	1640.410	3157.982	0.040
2	1542.811	2559.485	0.040
3	1583.901	2689.188	0.040
4	1687.602	3105.542	0.040
5	1496.338	2405.966	0.040
6	1578.910	2868.351	0.040
7	1692.558	2944.607	0.040
8	1692.763	3321.865	0.040
9	1786.946	3244.931	0.040
10	1735.289	3362.244	0.040
11	1700.924	3184.101	0.040
12	1565.906	2949.344	0.040
13	1634.298	3038.489	0.040
14	1768.139	2974.687	0.040
15	1685.598	3620.877	0.040
16	1756.956	2850.313	0.040
17	1693.069	3033.165	0.040
18	1659.943	2671.460	0.040
19	1784.733	3048.867	0.040
20	1655.424	2923.512	0.040
21	1773.539	3576.208	0.040
22	1748.249	3258.056	0.040
23	1814.322	3195.600	0.040
24	1897.032	3066.567	0.040
25	1756.985	2837.619	0.040
26	1937.815	3051.815	0.040
27	1943.532	2875.360	0.040
28	1785.639	2804.372	0.040
29	1968.148	3170.581	0.040
30	1954.531	3070.882	0.040
31	1979.203	3061.196	0.040
32	1979.203	3061.196	0.040
33	1986.853	3339.616	0.040
34	1909.188	3372.375	0.040
35	1909.188	3372.375	0.040
36	1909.188	3372.375	0.040
37	2011.487	3211.141	0.040
38	2011.487	3211.141	0.040
39	2011.487	3211.141	0.040
40	1831.944	3232.632	0.040
41	2028.693	3178.775	0.040
42	2030.025	3386.577	0.040
43	2125.903	3250.391	0.040
44	2088.787	3105.346	0.040
45	1884.770	3142.884	0.040
46	1884.770	3142.884	0.040
47	1884.770	3142.884	0.040
48	1884.770	3142.884	0.040
49	1791.115	2861.403	0.040
1	2460.615	3092.191	0.060
2	2314.216	2506.162	0.060
3	2375.852	2633.164	0.060
4	2531.403	3040.843	0.060
5	2680.420	3177.329	0.060
6	2512.174	2811.371	0.060
7	2558.134	2890.471	0.060
8	2244.508	2355.841	0.060
9	2368.364	2808.594	0.060
10	2538.837	2883.261	0.060
11	2722.140	3157.217	0.060
12	2551.786	3291.408	0.060
13	2415.385	2641.516	0.060
14	2451.447	2975.187	0.060
15	2526.200	2520.222	0.060
16	2680.035	2914.637	0.060
17	2521.103	2922.644	0.060
18	2485.105	2980.669	0.060
19	2483.136	2862.606	0.060
20	2660.309	3501.704	0.060
21	2588.875	2860.438	0.060
22	2593.202	2878.600	0.060
23	2765.042	4202.392	0.060
24	2727.859	3081.666	0.060
25	2542.501	2734.711	0.060
26	2542.501	2734.711	0.060
27	2396.763	2860.588	0.060
28	2396.763	2860.588	0.060
29	2396.763	2860.588	0.060
30	2579.762	2823.410	0.060
31	2560.720	3170.318	0.060
32	2617.360	2952.336	0.060
33	2712.569	2812.342	0.060
34	2644.515	3391.945	0.060
35	2568.176	2677.893	0.060
36	2670.777	3773.027	0.060
37	2667.002	3237.192	0.060
38	2688.163	3377.483	0.060
39	2601.933	2698.879	0.060
40	2745.749	2961.426	0.060
41	2745.749	2961.426	0.060
42	2588.566	2614.643	0.060
43	2588.566	2614.643	0.060
44	2462.391	2430.768	0.060
45	2627.873	3003.467	0.060
46	2835.243	3170.834	0.060
47	2671.100	3406.204	0.060
48	2464.558	2487.348	0.060
49	2464.558	2487.348	0.060
1	3280.820	3026.400	0.080
2	3085.622	2452.839	0.080
3	3167.802	2577.139	0.080
4	3375.204	2976.145	0.080
5	3573.893	3109.726	0.080
6	3349.566	2751.554	0.080
7	3424.454	2661.129	0.080
8	3220.513	2585.313	0.080
9	3268.596	2911.885	0.080
10	3368.267	2466.600	0.080
11	3448.351	2846.887	0.080
12	3385.534	2890.609	0.080
13	3385.527	3183.454	0.080
14	2992.677	2305.717	0.080
15	3211.175	3127.114	0.080
16	3323.442	2624.806	0.080
17	3629.520	3090.043	0.080
18	3561.039	2861.088	0.080
19	3390.001	2676.526	0.080
20	3386.139	2906.783	0.080
21	3386.139	2906.783	0.080
22	3604.937	2890.946	0.080
23	3604.937	2890.946	0.080
24	3500.874	2671.021	0.080
25	3500.874	2671.021	0.080
26	3500.874	2671.021	0.080
27	3319.886	2560.149	0.080
28	3319.886	2560.149	0.080
29	3319.886	2560.149	0.080
30	3319.886	2560.149	0.080
31	3319.886	2560.149	0.080
32	3319.886	2560.149	0.080
33	3423.008	2897.219	0.080
34	3665.609	3316.359	0.080
35	3449.287	2753.079	0.080
36	3420.871	2726.215	0.080
37	3420.871	2726.215	0.080
38	3420.871	2726.215	0.080
39	3355.412	2794.544	0.080
40	3355.412	2794.544	0.080
41	3661.667	2664.207	0.080
42	3513.971	2719.385	0.080
43	3875.630	2924.656	0.080
44	3887.064	2755.553	0.080
45	3571.278	2687.523	0.080
46	3936.297	3038.473	0.080
47	3582.230	2742.178	0.080
48	3582.230	2742.178	0.080
49	3582.230	2742.178	0.080
1	4101.025	2960.608	0.100
2	3857.027	2399.517	0.100
3	3959.753	2521.114	0.100
4	4219.006	2911.446	0.100
5	4467.366	3042.123	0.100
6	4186.957	2691.738	0.100
7	4280.568	2603.279	0.100
8	4025.641	2529.111	0.100
9	4085.745	2848.584	0.100
10	4210.334	2412.979	0.100
11	4310.438	2784.998	0.100
12	4231.917	2827.769	0.100
13	4231.908	3114.248	0.100
14	3740.846	2255.593	0.100
15	4013.969	3059.133	0.100
16	4154.303	2567.745	0.100
17	4536.901	3022.868	0.100
18	4451.299	2798.891	0.100
19	4237.501	2618.340	0.100
20	4232.674	2843.592	0.100
21	4232.674	2843.592	0.100
22	4506.171	2828.100	0.100
23	4506.171	2828.100	0.100
24	4376.093	2612.955	0.100
25	4376.093	2612.955	0.100
26	4376.093	2612.955	0.100
27	4049.357	2585.026	0.100
28	4049.357	2585.026	0.100
29	4049.357	2585.026	0.100
30	4049.357	2585.026	0.100
31	4049.357	2585.026	0.100
32	4049.357	2585.026	0.100
33	4049.357	2585.026	0.100
34	4311.608	2693.230	0.100
35	4026.576	2499.111	0.100
36	4401.158	3100.223	0.100
37	4245.353	2810.874	0.100
38	4443.195	3271.579	0.100
39	4300.164	2529.361	0.100
40	4334.578	2964.845	0.100
41	4174.699	2640.325	0.100
42	4601.346	3021.870	0.100
43	4556.252	2944.227	0.100
44	4556.252	2944.227	0.100
45	4556.252	2944.227	0.100
46	4556.252	2944.227	0.100
47	4556.252	2944.227	0.100
48	4556.252	2944.227	0.100
49	4556.252	2944.227	0.100
1	4921.230	2894.817	0.120
2	4628.432	2346.194	0.120
3	4751.704	2465.089	0.120
4	5062.807	2846.747	0.120
5	5360.839	2974.520	0.120
6	5024.349	2631.922	0.120
7	5136.681	2545.428	0.120
8	4830.769	2472.908	0.120
9	4902.894	2785.282	0.120
10	5052.401	2359.357	0.120
11	5172.526	2723.109	0.120
12	5078.301	2764.930	0.120
13	5078.290	3045.043	0.120
14	4489.015	2205.469	0.120
15	4816.763	2991.152	0.120
16	4985.163	2510.684	0.120
17	5444.281	2955.693	0.120
18	5341.559	2736.693	0.120
19	5085.001	2560.155	0.120
20	5079.208	2780.401	0.120
21	5079.208	2780.401	0.120
22	5407.406	2765.253	0.120
23	5407.406	2765.253	0.120
24	5251.311	2554.890	0.120
25	5251.311	2554.890	0.120
26	5251.311	2554.890	0.120
27	4859.228	2527.581	0.120
28	4859.228	2527.581	0.120
29	4859.228	2527.581	0.120
30	4859.228	2527.581	0.120
31	4859.228	2527.581	0.120
32	4859.228	2527.581	0.120
33	4859.228	2527.581	0.120
34	5173.930	2633.380	0.120
35	4831.892	2443.576	0.120
36	5281.389	3031.329	0.120
37	5094.424	2748.410	0.120
38	5331.834	3198.877	0.120
39	5160.197	2473.153	0.120
40	5201.493	2898.959	0.120
41	5009.639	2581.651	0.120
42	5521.615	2954.718	0.120
43	5467.503	2878.799	0.120
44	5467.503	2878.799	0.120
