Iteration	expexted_value	risk	lambda
4.000000	0.000000	2024.136000	0.000000
5.000000	395.749000	1983.654000	0.020000
5.000000	791.498000	1943.171000	0.040000
5.000000	1187.247000	1902.688000	0.060000
6.000000	1566.330000	2062.349000	0.080000
6.000000	1957.913000	2017.515000	0.100000
6.000000	2349.495000	1972.682000	0.120000
6.000000	2741.078000	1927.848000	0.140000
6.000000	3132.661000	1883.014000	0.160000
6.000000	3524.243000	1838.181000	0.180000
6.000000	3915.826000	1793.347000	0.200000
6.000000	4307.408000	1748.513000	0.220000
6.000000	4698.991000	1703.680000	0.240000
6.000000	5090.573000	1658.846000	0.260000
6.000000	5482.156000	1614.012000	0.280000
10.000000	5873.739000	1569.179000	0.300000
10.000000	6265.321000	1524.345000	0.320000
10.000000	6656.904000	1479.511000	0.340000
10.000000	7048.486000	1434.678000	0.360000
10.000000	7440.069000	1389.844000	0.380000
10.000000	7831.651000	1345.010000	0.400000
10.000000	8223.234000	1300.177000	0.420000
10.000000	8614.817000	1255.343000	0.440000
10.000000	9006.399000	1210.509000	0.460000
10.000000	9397.982000	1165.675000	0.480000
10.000000	9789.564000	1120.842000	0.500000
10.000000	10181.147000	1076.008000	0.520000
10.000000	10572.729000	1031.174000	0.540000
10.000000	10964.312000	986.341000	0.560000
10.000000	11355.895000	941.507000	0.580000
1.000000	11767.293000	952.761000	0.600000
1.000000	12159.536000	905.123000	0.620000
1.000000	12551.779000	857.485000	0.640000
1.000000	12944.022000	809.847000	0.660000
1.000000	13336.265000	762.209000	0.680000
1.000000	13728.508000	714.570000	0.700000
1.000000	14120.751000	666.932000	0.720000
1.000000	14512.994000	619.294000	0.740000
1.000000	14905.237000	571.656000	0.760000
1.000000	15297.480000	524.018000	0.780000
1.000000	15689.724000	476.380000	0.800000
1.000000	16081.967000	428.742000	0.820000
1.000000	16474.210000	381.104000	0.840000
1.000000	16866.453000	333.466000	0.860000
1.000000	17258.696000	285.828000	0.880000
1.000000	17650.939000	238.190000	0.900000
1.000000	18043.182000	190.552000	0.920000
1.000000	18435.425000	142.914000	0.940000
1.000000	18827.668000	95.276000	0.960000
1.000000	19219.911000	47.638000	0.980000
9.000000	19479.931000	-0.000000	1.000000
