Iteration	expexted_value	risk	lambda
1	0.000	5724.275	0.000
2	0.000	5899.923	0.000
3	0.000	5121.208	0.000
4	0.000	5518.152	0.000
5	0.000	4748.251	0.000
6	0.000	5289.382	0.000
7	0.000	5170.139	0.000
8	0.000	6855.398	0.000
9	0.000	5152.354	0.000
10	0.000	4701.264	0.000
11	0.000	4852.320	0.000
12	0.000	5231.975	0.000
13	0.000	4787.120	0.000
14	0.000	4833.949	0.000
15	0.000	4337.400	0.000
16	0.000	4551.207	0.000
17	0.000	4230.723	0.000
18	0.000	4372.217	0.000
19	0.000	4598.176	0.000
20	0.000	4497.642	0.000
21	0.000	4102.462	0.000
22	0.000	4165.406	0.000
23	0.000	5205.565	0.000
24	0.000	4038.444	0.000
25	0.000	3927.829	0.000
26	0.000	4076.743	0.000
27	0.000	4552.914	0.000
28	0.000	4718.493	0.000
29	0.000	4952.105	0.000
30	0.000	5106.634	0.000
31	0.000	5017.523	0.000
32	0.000	5374.435	0.000
33	0.000	5298.458	0.000
34	0.000	3959.415	0.000
35	0.000	4179.236	0.000
36	0.000	4127.894	0.000
37	0.000	4592.730	0.000
38	0.000	3925.428	0.000
39	0.000	3849.806	0.000
40	0.000	3861.787	0.000
41	0.000	3911.601	0.000
42	0.000	3838.115	0.000
43	0.000	3730.052	0.000
44	0.000	3880.788	0.000
45	0.000	5212.765	0.000
46	0.000	4804.694	0.000
47	0.000	6086.640	0.000
48	0.000	5024.066	0.000
49	0.000	4631.623	0.000
50	0.000	4429.299	0.000
51	0.000	5530.909	0.000
52	0.000	4894.352	0.000
53	0.000	5305.865	0.000
54	0.000	4476.249	0.000
55	0.000	5338.221	0.000
56	0.000	4438.844	0.000
57	0.000	4476.681	0.000
58	0.000	4312.434	0.000
59	0.000	4230.018	0.000
60	0.000	4464.909	0.000
61	0.000	4938.881	0.000
62	0.000	5198.734	0.000
63	0.000	4919.970	0.000
64	0.000	4124.039	0.000
65	0.000	5099.522	0.000
66	0.000	4163.172	0.000
67	0.000	4156.837	0.000
68	0.000	4372.703	0.000
69	0.000	3839.388	0.000
70	0.000	4023.956	0.000
71	0.000	3679.369	0.000
72	0.000	3663.573	0.000
73	0.000	3584.396	0.000
74	0.000	3524.455	0.000
75	0.000	3502.967	0.000
76	0.000	3633.585	0.000
77	0.000	4608.727	0.000
78	0.000	3724.421	0.000
79	0.000	3680.993	0.000
80	0.000	3987.406	0.000
81	0.000	5289.772	0.000
82	0.000	4353.033	0.000
83	0.000	4524.106	0.000
84	0.000	4503.733	0.000
85	0.000	5367.192	0.000
86	0.000	5126.227	0.000
87	0.000	4553.087	0.000
88	0.000	4968.714	0.000
89	0.000	4377.368	0.000
90	0.000	4395.500	0.000
91	0.000	4431.276	0.000
92	0.000	4168.694	0.000
93	0.000	3739.742	0.000
94	0.000	3782.416	0.000
95	0.000	3987.755	0.000
96	0.000	4861.108	0.000
97	0.000	5530.672	0.000
98	0.000	4412.302	0.000
99	0.000	4376.733	0.000
1	556.122	5667.032	0.010
2	520.947	5840.924	0.010
3	526.137	5069.996	0.010
4	514.288	5462.970	0.010
5	519.015	4700.769	0.010
6	505.661	5236.488	0.010
7	505.775	5118.437	0.010
8	534.751	6786.844	0.010
9	501.434	5100.830	0.010
10	462.728	4654.251	0.010
11	476.050	4803.797	0.010
12	506.680	5179.655	0.010
13	454.724	4739.249	0.010
14	515.260	4785.609	0.010
15	481.750	4294.026	0.010
16	513.357	4505.695	0.010
17	465.143	4188.415	0.010
18	496.750	4328.495	0.010
19	491.333	4552.195	0.010
20	536.876	4452.665	0.010
21	460.377	4061.438	0.010
22	487.537	4123.752	0.010
23	480.494	5153.509	0.010
24	484.968	3998.059	0.010
25	454.059	3888.550	0.010
26	481.542	4035.975	0.010
27	458.991	4507.385	0.010
28	525.408	4671.308	0.010
29	469.584	4902.584	0.010
30	501.953	5055.567	0.010
31	460.458	4967.348	0.010
32	499.163	5320.691	0.010
33	482.915	5245.473	0.010
34	446.492	3919.821	0.010
35	437.320	4137.444	0.010
36	464.480	4086.615	0.010
37	448.850	4546.802	0.010
38	468.933	3886.173	0.010
39	437.784	3811.308	0.010
40	453.351	3823.169	0.010
41	443.239	3872.485	0.010
42	435.456	3799.734	0.010
43	403.850	3692.752	0.010
44	433.351	3841.981	0.010
45	452.939	5160.637	0.010
46	477.464	4756.647	0.010
47	524.125	6025.774	0.010
48	497.786	4973.825	0.010
49	463.114	4585.306	0.010
50	517.611	4385.006	0.010
51	543.408	5475.600	0.010
52	561.320	4845.408	0.010
53	513.876	5252.806	0.010
54	515.557	4431.487	0.010
55	487.575	5284.839	0.010
56	499.127	4394.455	0.010
57	471.372	4431.914	0.010
58	464.025	4269.310	0.010
59	435.658	4187.717	0.010
60	465.159	4420.260	0.010
61	475.680	4889.492	0.010
62	513.931	5146.746	0.010
63	452.063	4870.770	0.010
64	469.708	4082.798	0.010
65	496.964	5048.527	0.010
66	495.265	4121.540	0.010
67	486.019	4115.269	0.010
68	502.975	4288.934	0.010
69	434.675	4198.339	0.010
70	461.521	5183.172	0.010
71	482.300	5680.625	0.010
72	499.890	5426.699	0.010
73	486.673	4930.712	0.010
74	480.259	5406.545	0.010
75	470.699	5325.198	0.010
76	465.099	4027.890	0.010
77	496.163	4066.234	0.010
78	501.119	3767.533	0.010
79	453.090	4202.230	0.010
80	469.466	3752.234	0.010
81	458.509	4546.312	0.010
82	495.064	4267.201	0.010
83	436.860	4579.234	0.010
84	459.774	4010.246	0.010
85	437.223	4401.204	0.010
86	503.640	4712.811	0.010
87	468.613	4386.445	0.010
88	474.955	4138.801	0.010
89	505.679	5797.849	0.010
90	514.640	4917.599	0.010
91	545.916	6168.393	0.010
92	508.783	4103.578	0.010
93	494.906	4845.959	0.010
94	518.442	4897.859	0.010
95	535.324	4304.392	0.010
96	505.633	5695.342	0.010
97	540.605	4369.566	0.010
98	538.887	6147.402	0.010
99	513.538	4678.548	0.010
1	1112.243	5609.789	0.020
2	1041.894	5781.925	0.020
3	1052.275	5018.784	0.020
4	1028.576	5407.789	0.020
5	1038.029	4653.286	0.020
6	1011.322	5183.594	0.020
7	1011.550	5066.736	0.020
8	1069.503	6718.290	0.020
9	1002.867	5049.307	0.020
10	925.456	4607.238	0.020
11	952.100	4755.274	0.020
12	1013.360	5127.335	0.020
13	909.448	4691.378	0.020
14	972.662	4784.454	0.020
15	896.518	3990.950	0.020
16	959.732	4026.190	0.020
17	863.387	3679.325	0.020
18	926.602	3885.323	0.020
19	982.666	4506.213	0.020
20	1006.769	4299.339	0.020
21	1019.433	4349.955	0.020
22	975.073	4082.098	0.020
23	1036.251	5498.037	0.020
24	969.936	3957.675	0.020
25	1030.586	5427.664	0.020
26	963.084	3995.208	0.020
27	917.981	4461.856	0.020
28	1050.815	4624.123	0.020
29	939.168	4853.063	0.020
30	1003.906	5004.501	0.020
31	920.915	4917.173	0.020
32	998.326	5266.947	0.020
33	965.829	5192.488	0.020
34	892.984	3880.227	0.020
35	874.640	4095.651	0.020
36	928.959	4045.336	0.020
37	897.699	4500.875	0.020
38	937.867	3846.919	0.020
39	875.567	3772.810	0.020
40	906.702	3784.551	0.020
41	886.477	3833.369	0.020
42	870.911	3761.353	0.020
43	807.699	3655.451	0.020
44	866.703	3803.173	0.020
45	905.879	5108.509	0.020
46	954.927	4708.600	0.020
47	1048.251	5964.907	0.020
48	995.573	4923.585	0.020
49	926.228	4538.990	0.020
50	1035.222	4340.713	0.020
51	1086.815	5420.291	0.020
52	1122.640	4796.465	0.020
53	1027.753	5199.747	0.020
54	1031.114	4386.724	0.020
55	975.149	5231.456	0.020
56	998.253	4350.067	0.020
57	942.745	4387.147	0.020
58	928.050	4226.185	0.020
59	871.315	4145.417	0.020
60	930.319	4375.611	0.020
61	951.359	4840.103	0.020
62	1027.862	5094.759	0.020
63	904.126	4821.570	0.020
64	939.415	4041.558	0.020
65	993.928	4997.531	0.020
66	990.530	4079.908	0.020
67	972.038	4073.700	0.020
68	1005.950	4245.612	0.020
69	869.350	4155.931	0.020
70	923.042	5130.817	0.020
71	964.600	5623.245	0.020
72	999.779	5371.883	0.020
73	973.346	4880.907	0.020
74	960.518	5351.933	0.020
75	941.397	5271.408	0.020
76	930.198	3987.204	0.020
77	992.325	4025.161	0.020
78	1002.237	3729.477	0.020
79	906.179	4159.783	0.020
80	938.932	3714.332	0.020
81	917.017	4500.389	0.020
82	990.128	4224.098	0.020
83	873.720	4532.979	0.020
84	919.549	3969.738	0.020
85	874.446	4356.747	0.020
86	1007.280	4665.207	0.020
87	937.226	4342.138	0.020
88	949.911	4096.995	0.020
89	1011.358	5739.285	0.020
90	1029.280	4867.926	0.020
91	1091.832	6106.086	0.020
92	1017.567	4062.128	0.020
93	989.811	4797.010	0.020
94	1036.885	4848.386	0.020
95	1070.648	4260.914	0.020
96	1011.266	5637.813	0.020
97	1081.210	4325.429	0.020
